year,age16_20,age21_29,age30_39,age40_49,age50_59,age60_over,age_total,incarceration_status
2011,2753,15408,15567,14195,6475,1917,56315,total under custody
2012,2636,15338,15362,13774,6863,2006,55979,total under custody
2013,2390,15106,15206,12894,7165,2104,54865,total under custody
2014,2240,15079,15099,12189,7393,2142,54142,total under custody
2015,1912,14674,15008,11576,7664,2269,53103,total under custody
2016,1679,14436,15032,11057,7751,2389,52344,total under custody
2017,1489,13919,15049,10677,7759,2573,51466,total under custody
2018,1291,13149,15125,10375,7640,2691,50271,total under custody
2019,1113,11866,14739,9845,7202,2694,47459,total under custody
2020,916,10483,14061,9300,6747,2769,44276,total under custody
2021,418,7374,10830,7697,5478,2608,34405,total under custody
